codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,mes_sin,mes_cos,km_log,km_por_mes,precio_log,sobre_stock,codigo_enc,marca_enc
01001-01016,2026,2,5.0,1,56.66,143155.0,WOLVER,21.0,0.0,0.0,2026-02-01,13.0,25.0,17.0,14.5,7.5,4.769696007084727,12.083333333333334,7.486098227158569,0.8660254037844386,0.5000000000000001,11.871690223724034,5.935845111862017,4.054563692210256,1,16,0
01001-01016,2026,3,6.0,1,63.0,27197.0,WOLVER,21.0,0.0,0.0,2026-03-01,5.0,4.5,14.0,14.0,8.0,4.358898943540672,10.75,7.78299428240828,1.0,6.123233995736766e-17,10.210898720168904,3.4036329067229683,4.1588830833596715,1,16,0
01001-01016,2026,4,18.0,3,85.0,55217.0,WOLVER,21.0,0.0,0.0,2026-04-01,6.0,13.0,11.0,14.0,9.666666666666666,7.2341781380702335,11.916666666666666,8.333166664999966,0.8660254037844387,-0.4999999999999998,10.919044266066912,2.729761066516728,4.454347296253507,1,16,0
01001-01022,2026,1,7.0,1,42.0,105740.0,SIN MARCA,4.0,0.0,0.0,2026-01-01,8.0,14.0,15.0,6.0,7.0,1.0000000000000977,13.333333333333334,11.927559124425526,0.49999999999999994,0.8660254037844387,11.568747986903793,11.568747986903793,3.7612001156935624,1,22,1
01001-01022,2026,2,13.0,2,42.0,89765.0,SIN MARCA,4.0,0.0,0.0,2026-02-01,7.0,6.0,37.0,8.0,9.333333333333334,3.2145502536643438,9.333333333333334,3.3266599866332287,0.8660254037844386,0.5000000000000001,11.404961563442287,5.702480781721143,3.7612001156935624,1,22,1
01001-01022,2026,3,14.0,2,32.5,99959.5,SIN MARCA,4.0,0.0,0.0,2026-03-01,13.0,8.0,8.0,15.0,11.333333333333334,3.7859388972002006,10.333333333333334,3.723797345005043,1.0,6.123233995736766e-17,11.51253038693718,3.83751012897906,3.5115454388310208,1,22,1
01001-01032,2025,10,15.0,3,45.0,116185.66666666669,HONDA,0.0,0.0,0.0,2025-10-01,21.5,56.0,44.0,10.0,23.333333333333332,9.38527215020073,38.75,17.93530038778275,-0.8660254037844386,0.5000000000000001,11.662953372123214,1.1662953372123215,3.828641396489095,0,31,3
01001-01032,2025,12,1.0,1,45.0,124027.0,HONDA,0.0,0.0,0.0,2025-12-01,15.0,33.5,52.5,15.0,12.5,10.476163419878485,30.166666666666668,21.919549873723845,-2.4492935982947064e-16,1.0,11.728262625548346,0.9773552187956955,3.828641396489095,0,31,3
01001-01032,2026,2,44.0,8,45.0,74703.5,HONDA,0.0,0.0,0.0,2026-02-01,1.0,21.5,54.0,37.0,20.0,21.931712199461312,28.5,20.0449494885869,0.8660254037844386,0.5000000000000001,11.22129561027035,5.610647805135175,3.828641396489095,0,31,3
01001-01032,2026,3,15.0,3,45.0,55836.333333333336,HONDA,0.0,0.0,0.0,2026-03-01,44.0,15.0,56.0,30.0,20.0,21.931712199461312,21.666666666666668,15.197587527850176,1.0,6.123233995736766e-17,10.930197980804042,3.6433993269346807,3.828641396489095,0,31,3
